,WAG,SEX,AGE,EDU,JOB,RACE,WAGP_count,WAGP_mean,Year
191,34441.24650534149,Female,26-35,BS,TRP,HSP/NTV,12,24564.357716702918,2008
192,27643.4891467797,Female,36-45,BS,TRP,HSP/NTV,21,24232.826452623984,2008
193,28518.21834549208,Female,46-55,BS,TRP,HSP/NTV,8,25009.890473251628,2008
194,28490.08110345914,Female,56-70,BS,TRP,HSP/NTV,6,26246.16223599658,2008
195,28983.30192437228,Female,18-25,BS,TRP,WHT/MIX,12,26098.948299061165,2008
196,36470.14160167462,Female,26-35,BS,TRP,WHT/MIX,57,37448.23759971842,2008
197,60680.25330647117,Female,36-45,BS,TRP,WHT/MIX,69,50555.12373400156,2008
198,40603.89989369071,Female,46-55,BS,TRP,WHT/MIX,69,42684.42441204931,2008
199,40836.354854342026,Female,56-70,BS,TRP,WHT/MIX,40,38545.629905224065,2008
200,25157.832344681923,Female,18-25,CLG,ART,ASN,16,30918.296810030584,2008
201,35180.52266216194,Female,26-35,CLG,ART,ASN,41,33279.64763921953,2008
202,37274.23893543665,Female,36-45,CLG,ART,ASN,54,39142.357035256835,2008
203,29943.006800466977,Female,46-55,CLG,ART,ASN,52,31792.13465063073,2008
204,32844.53104239286,Female,56-70,CLG,ART,ASN,19,34150.314056980555,2008
205,21946.51963728847,Female,18-25,CLG,ART,BLK,112,21772.76067034473,2008
206,25980.06281053572,Female,26-35,CLG,ART,BLK,291,27338.82739554475,2008
207,29781.63321790361,Female,36-45,CLG,ART,BLK,482,28912.11237129608,2008
208,30908.242008878344,Female,46-55,CLG,ART,BLK,446,30746.19860207746,2008
209,30372.95553924947,Female,56-70,CLG,ART,BLK,244,31557.520984582767,2008
210,24011.276197019182,Female,18-25,CLG,ART,HSP/NTV,146,23748.483493002575,2008
211,29354.969402870534,Female,26-35,CLG,ART,HSP/NTV,354,28885.658453912572,2008
212,29332.140938878547,Female,36-45,CLG,ART,HSP/NTV,412,29936.97852160551,2008
213,29922.959217678253,Female,46-55,CLG,ART,HSP/NTV,372,30151.915078530394,2008
214,31329.419965882716,Female,56-70,CLG,ART,HSP/NTV,156,30755.63318270827,2008
215,22747.40789821422,Female,18-25,CLG,ART,WHT/MIX,536,23103.747195891803,2008
216,30533.353416790746,Female,26-35,CLG,ART,WHT/MIX,1278,29372.924734373984,2008
217,32092.571628811376,Female,36-45,CLG,ART,WHT/MIX,1781,31929.40835721135,2008
218,33302.86785248156,Female,46-55,CLG,ART,WHT/MIX,2329,33200.074991878035,2008
219,34072.13349461755,Female,56-70,CLG,ART,WHT/MIX,1388,34689.48831271832,2008
220,31399.00561848788,Female,18-25,CLG,BUS,ASN,38,31655.709906287706,2008
221,39601.48967446124,Female,26-35,CLG,BUS,ASN,143,41156.312961256765,2008
222,46083.79475215306,Female,36-45,CLG,BUS,ASN,172,47885.26284555048,2008
223,52750.56479842826,Female,46-55,CLG,BUS,ASN,172,51392.11031104523,2008
224,53484.967410821235,Female,56-70,CLG,BUS,ASN,74,52590.91538609136,2008
225,29339.12653917978,Female,18-25,CLG,BUS,BLK,113,27800.886875087177,2008
226,35422.85239486438,Female,26-35,CLG,BUS,BLK,448,36238.127174724636,2008
227,43448.53762091035,Female,36-45,CLG,BUS,BLK,729,43042.73920500495,2008
228,47666.9767285314,Female,46-55,CLG,BUS,BLK,712,47337.491024502975,2008
229,47030.142890251715,Female,56-70,CLG,BUS,BLK,308,46518.90697808195,2008
230,28628.35340723786,Female,18-25,CLG,BUS,HSP/NTV,194,28413.05676483216,2008
231,37743.83990542377,Female,26-35,CLG,BUS,HSP/NTV,620,38007.67282654521,2008
232,45381.74519617007,Female,36-45,CLG,BUS,HSP/NTV,666,45385.22333037789,2008
233,49365.853177661615,Female,46-55,CLG,BUS,HSP/NTV,539,48233.22580201987,2008
234,50857.566900523474,Female,56-70,CLG,BUS,HSP/NTV,229,46997.71249013616,2008
235,26517.707866702414,Female,18-25,CLG,BUS,WHT/MIX,749,26812.679357606205,2008
236,38491.53593856404,Female,26-35,CLG,BUS,WHT/MIX,2859,38299.73911152014,2008
237,46279.21207743819,Female,36-45,CLG,BUS,WHT/MIX,4754,46710.26196906373,2008
238,50642.09894439697,Female,46-55,CLG,BUS,WHT/MIX,6248,50236.897357251735,2008
239,49783.35923137486,Female,56-70,CLG,BUS,WHT/MIX,3607,49628.583866687906,2008
240,29681.439595303313,Female,18-25,CLG,HLC,ASN,32,37396.71485940417,2008
241,43489.623744145414,Female,26-35,CLG,HLC,ASN,118,45575.087695051334,2008
242,51814.118595366286,Female,36-45,CLG,HLC,ASN,145,53829.48187223428,2008
243,63426.7762547242,Female,46-55,CLG,HLC,ASN,142,62118.76406134764,2008
244,65701.98526078474,Female,56-70,CLG,HLC,ASN,93,64982.5544937186,2008
245,27497.179381382113,Female,18-25,CLG,HLC,BLK,91,26755.948623726006,2008
246,37365.672258498715,Female,26-35,CLG,HLC,BLK,437,36693.235067835005,2008
247,44154.5140809039,Female,36-45,CLG,HLC,BLK,591,45083.22441768731,2008
248,45653.24315035118,Female,46-55,CLG,HLC,BLK,555,44522.8462442584,2008
249,42358.28049210261,Female,56-70,CLG,HLC,BLK,292,46151.647802837266,2008
250,27184.273116049633,Female,18-25,CLG,HLC,HSP/NTV,108,27058.793791189102,2008
251,37683.10583779613,Female,26-35,CLG,HLC,HSP/NTV,339,37557.6390991153,2008
252,44166.524803572494,Female,36-45,CLG,HLC,HSP/NTV,278,43498.67823524371,2008
253,44504.363752112324,Female,46-55,CLG,HLC,HSP/NTV,245,45692.453825114855,2008
254,47213.252811340164,Female,56-70,CLG,HLC,HSP/NTV,110,45885.24040801616,2008
255,30775.31330420495,Female,18-25,CLG,HLC,WHT/MIX,843,30854.216691253812,2008
256,38767.56336276141,Female,26-35,CLG,HLC,WHT/MIX,2659,38688.84613646519,2008
257,44309.620526347164,Female,36-45,CLG,HLC,WHT/MIX,3396,44621.79440108549,2008
