,Variable,Category,Total_Count,M_Wage_f,M_Wage_m,M_Wage_Avg,M_Wage_Diff,M_Count,M_Pct_Ct,F_Wage_m,F_Wage_f,F_Wage_Avg,F_Wage_Diff,F_Count,F_Pct_Ct,F_M_Ratio_f,F_M_Ratio_m,F_M_Ratio_Avg,F_M_Ratio_Diff,Year
1,JOB,Business,157899,75541.172,79844.343,77692.758,4303.171,87604,0.55481035345379,60013.551,57435.771,58724.661,2577.78,70295,0.4451896465462099,0.76,0.752,0.756,0.008,2011
2,JOB,Healthcare,55812,67367.125,99185.675,83276.4,31818.55,15099,0.2705332186626532,76094.189,56859.442,66476.816,19234.747,40713,0.7294667813373468,0.844,0.767,0.806,0.077,2011
3,JOB,Maintenance,84631,41769.726,41399.982,41584.854,-369.744,81563,0.9637485082298448,34243.799,35170.608,34707.204,-926.809,3068,0.036251491770155145,0.842,0.827,0.834,0.015,2011
4,JOB,Military,4811,42365.819,41631.146,41998.482,-734.673,4291,0.8919143629183122,32453.082,33598.75,33025.916,-1145.668,520,0.1080856370816878,0.793,0.78,0.786,0.013,2011
5,JOB,Production,64619,38818.102,39491.395,39154.748,673.293,48137,0.744935700026308,29066.657,28525.26,28795.958,541.397,16482,0.25506429997369195,0.735,0.736,0.736,-0.001,2011
6,JOB,Sales,207950,45765.574,48878.633,47322.104,3113.059,80925,0.38915604712671314,35743.049,34264.557,35003.803,1478.492,127025,0.6108439528732869,0.749,0.731,0.74,0.018,2011
7,JOB,Science,60194,74685.877,74578.934,74632.406,-106.943,45321,0.7529155729806958,61477.316,62034.834,61756.075,-557.518,14873,0.24708442701930425,0.831,0.824,0.827,0.007,2011
8,JOB,Services,106894,34672.233,36146.439,35409.336,1474.206,55939,0.5233128145639605,26606.466,25927.914,26267.19,678.552,50955,0.47668718543603944,0.748,0.736,0.742,0.012,2011
9,JOB,Transport,52966,37463.914,37252.973,37358.443,-210.941,46008,0.868632707774799,28855.417,29094.107,28974.762,-238.69,6958,0.13136729222520108,0.777,0.775,0.776,0.002,2011
0,RACE,Asian,45558,57980.05,62581.985,60281.018,4601.935,24923,0.5470608894156899,53446.509,50796.975,52121.742,2649.534,20635,0.45293911058431013,0.876,0.854,0.865,0.022,2011
1,RACE,Black,80910,43493.046,41347.508,42420.277,-2145.538,36722,0.45386231615375106,35477.982,37366.019,36422.0,-1888.037,44188,0.546137683846249,0.859,0.858,0.858,0.001,2011
2,RACE,Hispanic,106234,41242.627,37586.227,39414.427,-3656.4,64124,0.6036108966997383,30544.377,34165.121,32354.749,-3620.744,42110,0.39638910330026167,0.828,0.813,0.82,0.015,2011
3,RACE,Mixed,12763,49762.867,49704.159,49733.513,-58.708,6920,0.5421922745436026,40352.041,40840.486,40596.264,-488.445,5843,0.4578077254563974,0.821,0.812,0.816,0.009,2011
4,RACE,Native,7725,42669.981,41412.394,42041.188,-1257.587,4005,0.5184466019417475,34910.356,35778.659,35344.508,-868.303,3720,0.4815533980582524,0.838,0.843,0.84,-0.005,2011
5,RACE,White,645845,57269.429,58369.743,57819.586,1100.314,365624,0.5661172572366434,44097.042,43687.519,43892.28,409.523,280221,0.43388274276335653,0.763,0.755,0.759,0.008,2011
0,AGE,18-22,22053,23652.825,23310.502,23481.664,-342.323,13915,0.6309799120301093,21508.205,21673.791,21590.998,-165.586,8138,0.3690200879698907,0.916,0.923,0.92,-0.007,2011
1,AGE,23-28,94162,35035.177,34045.781,34540.479,-989.396,51472,0.5466323994817442,29414.372,31587.71,30501.041,-2173.338,42690,0.45336760051825575,0.902,0.864,0.883,0.038,2011
2,AGE,29-36,154246,49262.504,47321.581,48292.042,-1940.923,87949,0.570186585065415,38633.242,41053.293,39843.268,-2420.051,66297,0.429813414934585,0.833,0.816,0.824,0.017,2011
3,AGE,37-45,194014,58803.874,58695.226,58749.55,-108.648,110878,0.571494840578515,44499.024,45014.181,44756.602,-515.157,83136,0.42850515942148504,0.765,0.758,0.762,0.007,2011
4,AGE,46-55,255190,60139.377,61465.995,60802.686,1326.618,139737,0.5475802343352012,45789.391,44943.27,45366.33,846.121,115453,0.4524197656647988,0.747,0.745,0.746,0.002,2011
5,AGE,56-70,179370,56374.76,61033.909,58704.334,4659.149,98367,0.5484027429336009,46682.253,44124.31,45403.282,2557.943,81003,0.4515972570663991,0.783,0.765,0.774,0.018,2011
0,SEX,Female,915826,54766.198,55020.001,54893.1,253.803,513369,0.5605529871394784,42754.587,43110.719,42932.653,-356.132,402457,0.4394470128605215,0.787,0.777,0.782,0.01,2012
0,EDU,B.S._Degree,211754,64244.145,69244.502,66744.324,5000.357,112608,0.5317868847813972,53830.381,50660.088,52245.235,3170.293,99146,0.4682131152186027,0.789,0.777,0.783,0.012,2012
1,EDU,Highschool,221523,40253.995,39747.685,40000.84,-506.31,135745,0.6127806142025884,30448.416,30525.049,30486.732,-76.633,85778,0.38721938579741155,0.758,0.766,0.762,-0.008,2012
2,EDU,M.S._Degree,94033,73297.309,84569.126,78933.218,11271.817,44893,0.47741750236619057,67808.099,61757.308,64782.704,6050.791,49140,0.5225824976338094,0.843,0.802,0.822,0.041,2012
3,EDU,No_Highschool,60520,30838.83,31492.213,31165.522,653.383,42300,0.6989424983476537,24214.676,24620.368,24417.522,-405.692,18220,0.30105750165234635,0.798,0.769,0.784,0.029,2012
4,EDU,PhD_or_Prof,38481,105333.924,110211.035,107772.48,4877.111,23358,0.6070008575660716,85837.278,83270.818,84554.048,2566.46,15123,0.3929991424339284,0.791,0.779,0.785,0.012,2012
5,EDU,Some_College,289515,47848.236,47580.597,47714.416,-267.639,154465,0.5335302143239555,36775.648,36774.869,36775.258,0.779,135050,0.4664697856760444,0.769,0.773,0.771,-0.004,2012
0,JOB,Art,102962,54521.19,61383.977,57952.584,6862.787,37217,0.361463452535887,50926.94,46123.822,48525.381,4803.118,65745,0.6385365474641129,0.846,0.83,0.838,0.016,2012
1,JOB,Business,162614,75957.06,79418.226,77687.643,3461.166,90459,0.5562805170526522,60832.806,58790.398,59811.602,2042.408,72155,0.4437194829473477,0.774,0.766,0.77,0.008,2012
2,JOB,Healthcare,57036,68088.561,95952.123,82020.342,27863.562,15182,0.2661827617644996,75038.466,57559.732,66299.099,17478.734,41854,0.7338172382355004,0.845,0.782,0.814,0.063,2012
3,JOB,Maintenance,86223,42639.779,42240.159,42439.969,-399.62,83053,0.9632348677267086,34759.696,35880.245,35319.97,-1120.549,3170,0.03676513227329135,0.841,0.823,0.832,0.018,2012
4,JOB,Military,4929,43168.48,42765.624,42967.052,-402.856,4405,0.8936904037330087,34704.523,35791.67,35248.096,-1087.147,524,0.10630959626699128,0.829,0.812,0.82,0.017,2012
5,JOB,Production,65229,39988.832,40746.081,40367.456,757.249,48903,0.7497125511658924,29253.102,28960.78,29106.941,292.322,16326,0.25028744883410753,0.724,0.718,0.721,0.006,2012
6,JOB,Sales,211257,47062.466,49844.497,48453.482,2782.031,82349,0.3898048348693771,36493.42,35076.895,35785.158,1416.525,128908,0.6101951651306229,0.745,0.732,0.738,0.013,2012
7,JOB,Science,62498,76555.737,76389.103,76472.42,-166.634,47312,0.7570162245191846,63631.779,63861.378,63746.578,-229.599,15186,0.24298377548081537,0.834,0.833,0.833,0.001,2012
8,JOB,Services,108383,35168.975,36627.048,35898.012,1458.073,57074,0.5265954992941697,27022.629,26415.033,26718.831,607.596,51309,0.47340450070583023,0.751,0.738,0.744,0.013,2012
9,JOB,Transport,54695,38688.045,38422.845,38555.445,-265.2,47415,0.8668982539537435,29169.141,29470.413,29319.777,-301.272,7280,0.13310174604625652,0.762,0.759,0.76,0.003,2012
0,RACE,Asian,47461,58809.171,63156.913,60983.042,4347.742,26010,0.548028907945471,54606.962,52064.466,53335.714,2542.496,21451,0.45197109205452896,0.885,0.865,0.875,0.02,2012
